Action Entropy,Policy Type,Potential,Collision Likelihood,Reach Reduction,Trial_ID
0.1,Global Optimal,0.031997470332717166,0.007842514781716936,1.0000000000000002,0
0.1,Local Feedback,0.031487264780837965,0.015945183996545653,0.9840548160034542,0
0.1,Global Optimal,0.11511044220469081,0.18165861908389092,0.9926718772579899,1
0.1,Local Feedback,0.022391290635598027,0.8061942704192482,0.19309459753393746,1
0.1,Global Optimal,0.19833125210798516,0.11308531969412838,0.9966462431553095,2
0.1,Local Feedback,0.12307534114901561,0.379465386906786,0.6184732616644731,2
0.1,Global Optimal,0.053424799723914965,0.01040032831148141,1.0000000000000004,3
0.1,Local Feedback,0.05232513452279256,0.020583422058766176,0.9794165779412342,3
0.1,Global Optimal,0.10170436257032753,0.014594128989187882,1.0000000000000004,4
0.1,Local Feedback,0.09954109466652869,0.021270158419241403,0.9787298415807589,4
0.1,Global Optimal,0.10170436257032753,0.014594128989187882,1.0000000000000004,5
0.1,Local Feedback,0.09954109466652869,0.021270158419241403,0.9787298415807589,5
0.1,Global Optimal,0.031997470332717166,0.007842514781716936,1.0000000000000002,6
0.1,Local Feedback,0.031487264780837965,0.015945183996545653,0.9840548160034542,6
0.1,Global Optimal,0.06091332753457614,0.011633721096437788,1.0000000000000002,7
0.1,Local Feedback,0.0589746436141992,0.031826925220535096,0.9681730747794648,7
0.1,Global Optimal,0.04398800007699533,0.3220153775448511,0.8233629382667513,8
0.1,Local Feedback,1.2421971485499758e-07,0.9999976496463392,2.3251320640775783e-06,8
0.1,Global Optimal,0.19833125210798516,0.11308531969412838,0.9966462431553095,9
0.1,Local Feedback,0.12307534114901561,0.379465386906786,0.6184732616644731,9
0.1,Global Optimal,0.060913327534576144,0.01704848873393572,1.0000000000000004,10
0.1,Local Feedback,0.05790702407267264,0.049353788137694865,0.9506462118623052,10
0.1,Global Optimal,0.060913327534576144,0.01704848873393572,1.0000000000000004,11
0.1,Local Feedback,0.05790702407267264,0.049353788137694865,0.9506462118623052,11
0.1,Global Optimal,0.053424799723914965,0.01040032831148141,1.0000000000000004,12
0.1,Local Feedback,0.05232513452279256,0.020583422058766176,0.9794165779412342,12
