Action Entropy,Policy Type,Potential,Collision Likelihood,Trial_ID
0.1,Global Feedback,0.7124075592089573,0.0574196779706587,0
0.1,Local Feedback,0.0693713228666356,0.7528539655718901,0
0.1,Global Feedback,0.6800348139654534,0.0285814356784934,1
0.1,Local Feedback,0.2662658726621458,0.3787511658220949,1
0.1,Global Feedback,0.5118395758290802,0.0705546718879849,2
0.1,Local Feedback,0.13824518654464787,0.6308083093025771,2
0.1,Global Feedback,0.2753194141693951,0.2189006753710263,3
0.1,Local Feedback,3.3521194189832917e-22,0.8,3
0.1,Global Feedback,0.5526019725861533,0.0628979856690596,4
0.1,Local Feedback,0.3705766436449223,0.1544463770169565,4
0.1,Global Feedback,0.3721312471784662,0.1016138229944954,5
0.1,Local Feedback,0.020138177891547083,0.7677085919899357,5
0.1,Global Feedback,0.3840294810755756,0.0494480028865152,6
0.1,Local Feedback,0.0782768357259212,0.5817469377355611,6
0.1,Global Feedback,0.1800643339782945,0.4431706149753224,7
0.1,Local Feedback,5.886444335222267e-55,0.8,7
0.1,Global Feedback,0.5185342856716462,0.1015983228998449,8
0.1,Local Feedback,5.4620571445200616e-05,0.7999976701598248,8
0.1,Global Feedback,0.3320220407750805,0.0082887546317248,9
0.1,Local Feedback,0.0641300360648547,0.5841185311203985,9
0.1,Global Feedback,0.5585494563584444,0.2078375371663209,10
0.1,Local Feedback,5.648970928696403e-22,0.8,10
0.1,Global Feedback,0.265736308443854,0.0721604282784279,11
0.1,Local Feedback,0.05755081655641966,0.7104758142137034,11
0.1,Global Feedback,0.2509624472192326,0.0905178616977906,12
0.1,Local Feedback,0.07604469236535555,0.49899624417890664,12
0.1,Global Feedback,0.6864075765814903,0.0206056738274473,13
0.1,Local Feedback,0.10117524789614363,0.6734693106858718,13
0.1,Global Feedback,0.3146770472047007,0.0970227654488279,14
0.1,Local Feedback,0.16761714512071102,0.27928609453455067,14
0.1,Global Feedback,0.3069018949264847,0.2982265989807584,15
0.1,Local Feedback,9.20243486217719e-08,0.7999999996555598,15
0.1,Global Feedback,0.5103372264260544,0.0568326083052956,16
0.1,Local Feedback,0.023126752067875553,0.7640683563217889,16
0.1,Global Feedback,0.2180778339843299,0.3949938555544928,17
0.1,Local Feedback,3.894701331296884e-49,0.8,17
0.1,Global Feedback,0.5615155709683773,0.0488398211391871,18
0.1,Local Feedback,0.36626541507039506,0.07097759973583824,18
0.1,Global Feedback,0.4394432114711816,0.0532748254375685,19
0.1,Local Feedback,0.25080477607210133,0.4245250440607185,19
0.1,Global Feedback,0.2127329869947349,0.3959579477319174,20
0.1,Local Feedback,4.349093177395958e-36,0.8,20
0.1,Global Feedback,0.5099317790677399,0.0130571988076819,21
0.1,Local Feedback,0.3098102027981335,0.0042759233321745605,21
0.1,Global Feedback,0.3355346147796764,0.243943306284141,22
0.1,Local Feedback,5.80318827589466e-05,0.7999957150854936,22
0.1,Global Feedback,0.7009612625671968,0.0415966843662769,23
0.1,Local Feedback,0.05459854694267724,0.7518364840404388,23
0.1,Global Feedback,0.3251761207240262,0.1977581767970543,24
0.1,Local Feedback,1.815855940860658e-08,0.7999999999212826,24
0.2,Global Feedback,0.2183589047978236,0.0861881029947746,0
0.2,Local Feedback,0.015052538988882189,0.7777690510251031,0
0.2,Global Feedback,0.4265372578083597,0.1746887470002048,1
0.2,Local Feedback,0.0005325249535199323,0.7998664185419505,1
0.2,Global Feedback,0.0790396065839134,0.2963877833910695,2
0.2,Local Feedback,1.5511206372571634e-34,0.8,2
0.2,Global Feedback,0.2182923503761521,0.105329264161617,3
0.2,Local Feedback,0.011159500009875138,0.7881280188492675,3
0.2,Global Feedback,0.2242536202806073,0.1736026204975504,4
0.2,Local Feedback,0.002206249640800828,0.798326420804039,4
0.2,Global Feedback,0.1328157439597201,0.0938169238442002,5
0.2,Local Feedback,0.10911978215690181,0.00214146885122168,5
0.2,Global Feedback,0.345338826015696,0.3559549221985298,6
0.2,Local Feedback,2.985772828783275e-34,0.8,6
0.2,Global Feedback,0.198373101304782,0.2844086369571474,7
0.2,Local Feedback,0.00010164436979721251,0.7999816607923623,7
0.2,Global Feedback,0.3838786186135897,0.0875046950755007,8
0.2,Local Feedback,0.008554690436746972,0.7912186844847424,8
0.2,Global Feedback,0.1196071845510013,0.0603411485753182,9
0.2,Local Feedback,0.11277352047019003,0.17490787609238098,9
0.2,Global Feedback,0.3775896769701903,0.0573978844136038,10
0.2,Local Feedback,0.0011396690210310914,0.7996851691124512,10
0.2,Global Feedback,0.2164594976808871,0.3037174374555821,11
0.2,Local Feedback,4.257571369699279e-14,0.8,11
0.2,Global Feedback,0.3447140367143665,0.0868670804940106,12
0.2,Local Feedback,0.003847783196386496,0.7970206184569836,12
0.2,Global Feedback,0.282156047087609,0.1472564278882486,13
0.2,Local Feedback,5.613730385797395e-07,0.7999999927524365,13
0.2,Global Feedback,0.34924082919126,0.25415273086004,14
