Action Entropy,Policy Type,Potential,Collision Likelihood,Trial_ID
0.1,Global Feedback,0.7124075592089573,0.05741967797065872,0
0.1,Local Feedback,0.02210766236488572,0.9410674569648626,0
0.1,Global Feedback,0.6800348139654534,0.028581435678493472,1
0.1,Local Feedback,0.15101571806590877,0.47343895727761864,1
0.1,Global Feedback,0.5118395758290802,0.07055467188798492,2
0.1,Local Feedback,0.059204834278393854,0.7885103866282214,2
0.1,Global Feedback,0.27531941416939515,0.2189006753710263,3
0.1,Local Feedback,2.098384038958773e-31,1.0,3
0.1,Global Feedback,0.5526019725861533,0.06289798566905969,4
0.1,Local Feedback,0.24216506458261938,0.19305797127119562,4
0.1,Global Feedback,0.37213124717846624,0.1016138229944954,5
0.1,Local Feedback,0.0037772147381255885,0.9596357399874196,5
0.1,Global Feedback,0.3840294810755756,0.049448002886515297,6
0.1,Local Feedback,0.026270968739800515,0.7271836721694513,6
0.1,Global Feedback,0.18006433397829458,0.4431706149753224,7
0.1,Local Feedback,3.375681688276227e-78,1.0,7
0.1,Global Feedback,0.5185342856716462,0.10159832289984494,8
0.1,Local Feedback,8.137835627879972e-07,0.999997087699781,8
0.1,Global Feedback,0.3320220407750805,0.008288754631724848,9
0.1,Local Feedback,0.01976069068654641,0.7301481639004981,9
0.1,Global Feedback,0.5585494563584444,0.20783753716632092,10
0.1,Local Feedback,4.422526921868045e-31,1.0,10
0.1,Global Feedback,0.26573630844385404,0.07216042827842795,11
0.1,Local Feedback,0.016929533287795277,0.8880947677671293,11
0.1,Global Feedback,0.2509624472192326,0.09051786169779064,12
0.1,Local Feedback,0.02520733948969845,0.6237453052236333,12
0.1,Global Feedback,0.6864075765814903,0.02060567382744738,13
0.1,Local Feedback,0.03790334502695956,0.8418366383573397,13
0.1,Global Feedback,0.3146770472047007,0.09702276544882793,14
0.1,Local Feedback,0.07796209211028565,0.34910761816818836,14
0.1,Global Feedback,0.3069018949264847,0.29822659898075843,15
0.1,Local Feedback,8.880399484287883e-11,0.9999999995694495,15
0.1,Global Feedback,0.5103372264260544,0.056832608305295684,16
0.1,Local Feedback,0.00460278745511288,0.955085445402236,16
0.1,Global Feedback,0.2180778339843299,0.39499385555449285,17
0.1,Local Feedback,6.974844229671898e-70,1.0,17
